室内機風量[m3/min],ファン消費電力[kW],冷房能力[kW],ファン消費電力[kW],暖房能力[kW],,,,,,,,,,,,,
16,0.06,7.1,0.06,8,,,,,,,,,,,,,
室外機風量[m3/min],ファン動力[kW],定格能力[kW],定格消費電力[kW],中間能力[kW],中間消費電力[kW],中間中温能力[kW],中間中温消費電力[kW],100m時の配管長補正（冷房）[-],室外機風量[m3/min],ファン動力[kW],定格能力[kW],定格消費電力[kW],中間能力[kW],中間消費電力[kW],100m時の配管長補正（暖房）[-],下限負荷率[-],ユニット分割数
809,1.65,118,36.4,53.1,10.6,55.4,8.28,0.91,809,1.65,132,37.8,59.4,11.8,1,0.12,4
室内機風量[m3/min],ファン消費電力[kW],冷房能力[kW],ファン消費電力[kW],暖房能力[kW],外調機,,,,,,,,,,,,
16,0.06,7.1,0.06,8,FALSE,,,,,,,,,,,,
28,0.093,11.2,0.093,12.5,FALSE,,,,,,,,,,,,
16,0.06,7.1,0.06,8,FALSE,,,,,,,,,,,,
15,0.056,5.6,0.056,6.3,FALSE,,,,,,,,,,,,
16,0.06,7.1,0.06,8,FALSE,,,,,,,,,,,,
16,0.06,7.1,0.06,8,FALSE,,,,,,,,,,,,
16,0.06,7.1,0.06,8,FALSE,,,,,,,,,,,,
16,0.06,7.1,0.06,8,FALSE,,,,,,,,,,,,
16,0.06,7.1,0.06,8,FALSE,,,,,,,,,,,,
16,0.06,7.1,0.06,8,FALSE,,,,,,,,,,,,
15,0.056,5.6,0.056,6.3,FALSE,,,,,,,,,,,,
32,0.146,14,0.146,16,FALSE,,,,,,,,,,,,
15,0.056,5.6,0.056,6.3,FALSE,,,,,,,,,,,,
28,0.093,11.2,0.093,12.5,FALSE,,,,,,,,,,,,
17.5,0.068,8,0.068,9,FALSE,,,,,,,,,,,,
42.8,0.966,33.3,0.966,28.5,TRUE,,,,,,,,,,,,
